ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
4581,A,Ship,3,1,237,2,low,M,9,4626,Yes
4582,B,Ship,6,3,213,4,low,F,2,5349,No
4583,C,Ship,5,1,241,2,medium,F,3,5391,Yes
4584,F,Ship,2,2,170,3,high,F,7,4284,Yes
4585,D,Ship,3,1,156,3,medium,M,9,4278,No
4586,F,Ship,3,4,228,3,medium,F,8,5419,No
4587,A,Ship,3,1,145,3,high,F,10,4364,No
4588,B,Ship,4,1,145,3,low,M,3,5618,Yes
4589,C,Ship,3,4,166,3,medium,F,8,4369,Yes
4590,F,Ship,5,5,106,5,medium,F,4,4410,Yes
4591,D,Ship,5,3,210,3,high,F,4,4819,No
4592,F,Ship,2,1,235,3,medium,F,6,4411,Yes
4593,A,Ship,4,2,142,2,medium,F,5,4062,No
4594,B,Ship,3,4,271,3,low,F,9,4889,Yes
4595,C,Ship,4,5,245,3,medium,F,2,5439,Yes
4596,F,Ship,4,2,192,4,medium,F,2,5503,No
4597,D,Ship,5,4,270,3,medium,M,9,4992,Yes
4598,F,Ship,4,4,197,3,low,F,7,5099,No
4599,A,Ship,2,1,255,3,medium,F,1,5929,No
4600,B,Ship,5,3,223,2,medium,F,9,5735,No
4601,C,Ship,3,5,256,3,low,M,7,4366,Yes
4602,F,Ship,4,2,229,2,low,M,9,5026,No
4603,D,Ship,3,3,233,3,low,F,5,4976,Yes
4604,F,Ship,3,4,164,6,medium,F,4,5567,Yes
4605,A,Ship,3,1,171,2,medium,F,6,5704,Yes
4606,B,Ship,5,2,178,5,low,F,5,5167,No
4607,C,Ship,3,1,233,2,high,M,1,5073,Yes
4608,F,Ship,3,1,232,2,medium,F,2,5104,Yes
4609,D,Ship,4,2,236,3,low,F,1,4076,No
4610,F,Ship,3,2,197,3,medium,F,3,4491,No
4611,A,Ship,3,3,152,3,low,M,6,5749,Yes
4612,B,Ship,3,4,219,2,medium,M,7,4883,Yes
4613,C,Ship,4,2,205,2,low,F,10,5580,No
4614,F,Ship,3,2,142,2,low,M,7,4082,No
4615,D,Ship,6,4,112,4,medium,F,9,4005,Yes
4616,F,Ship,2,2,254,2,low,F,8,5827,No
4617,A,Ship,4,3,256,3,high,F,1,4323,No
4618,B,Ship,4,4,168,4,medium,F,4,4676,No
4619,C,Ship,3,4,171,3,low,F,5,5872,No
4620,F,Ship,6,5,215,4,medium,M,5,5409,Yes
4621,D,Ship,3,3,169,3,low,F,9,4317,Yes
4622,F,Ship,3,3,149,4,medium,F,3,5944,Yes
4623,A,Ship,4,1,223,3,low,F,9,4832,No
4624,B,Ship,5,3,224,2,low,M,6,5962,Yes
4625,C,Ship,2,5,186,2,medium,M,10,4506,No
4626,F,Ship,4,4,184,3,medium,F,2,5381,No
4627,D,Ship,3,1,152,3,low,F,3,5839,Yes
4628,F,Ship,5,3,249,2,low,F,9,4568,No
4629,A,Ship,3,3,173,5,medium,F,10,5840,No
4630,B,Ship,5,5,167,2,medium,M,2,5908,No
4631,C,Ship,5,2,230,2,medium,M,9,4483,No
4632,F,Road,5,3,237,3,low,F,8,5131,No
4633,D,Road,3,4,202,5,high,M,5,4632,No
4634,F,Road,4,3,134,4,low,M,3,5233,No
4635,A,Road,5,3,263,3,medium,F,2,4688,No
4636,B,Road,5,2,272,2,low,F,1,5412,No
4637,C,Road,4,2,231,6,low,M,8,5227,No
4638,F,Road,3,4,190,4,medium,F,7,5963,Yes
4639,D,Road,5,4,223,2,low,M,5,4424,Yes
4640,F,Road,5,1,257,3,medium,F,5,4355,No
4641,A,Road,4,4,184,3,medium,M,2,4639,No
4642,B,Road,3,5,193,3,medium,M,1,5810,Yes
4643,C,Road,4,3,204,2,low,F,7,4717,Yes
4644,F,Road,3,2,236,3,medium,M,8,5783,No
4645,D,Road,5,3,222,2,medium,M,3,4460,Yes
4646,F,Road,4,1,140,5,medium,M,6,4001,Yes
4647,A,Road,3,1,204,3,high,F,9,5093,No
4648,B,Road,3,2,271,2,medium,M,6,5280,Yes
4649,C,Road,3,1,108,6,medium,F,7,4024,No
4650,F,Road,4,1,206,3,low,F,4,4745,No
4651,D,Road,3,2,180,2,high,F,8,4408,No
4652,F,Road,3,2,193,3,low,F,7,5224,No
4653,A,Road,5,1,238,4,medium,M,10,4668,No
4654,B,Flight,5,3,234,3,low,F,6,4632,No
4655,C,Flight,2,5,271,2,low,F,5,5164,Yes
4656,F,Flight,5,2,102,5,medium,F,3,4784,No
4657,D,Flight,3,1,185,3,medium,M,7,5474,Yes
4658,F,Flight,4,1,273,2,high,F,10,5832,Yes
4659,A,Flight,6,3,233,6,low,F,9,4814,No
4660,B,Flight,5,3,191,2,medium,M,7,5783,Yes
4661,C,Flight,4,4,239,2,medium,M,4,4304,Yes
4662,F,Flight,3,3,270,3,low,M,7,4152,No
4663,D,Flight,5,2,279,4,low,F,8,4418,Yes
4664,F,Flight,5,1,233,4,high,M,2,4615,Yes
4665,A,Flight,3,3,178,4,high,M,3,4154,Yes
4666,B,Flight,3,4,184,4,medium,M,2,4052,No
4667,C,Flight,3,5,202,3,low,M,2,5208,No
4668,F,Flight,3,3,149,2,medium,M,3,4527,No
4669,D,Flight,5,2,133,2,high,F,2,4556,No
4670,F,Flight,4,4,224,5,low,F,9,4902,Yes
4671,A,Flight,4,2,252,2,medium,F,6,5414,No
4672,B,Flight,4,3,208,2,medium,M,6,4276,Yes
4673,C,Flight,5,3,256,2,low,M,3,4456,No
4674,F,Flight,3,5,206,4,medium,M,10,4321,Yes
4675,D,Flight,2,1,177,4,low,F,5,4358,No
4676,F,Ship,4,4,269,4,medium,F,3,5032,Yes
4677,A,Ship,3,5,216,3,high,F,2,4242,No
4678,B,Ship,3,2,221,3,high,F,7,5477,No
4679,C,Ship,5,4,210,3,medium,F,6,5102,No
4680,F,Ship,4,5,205,3,medium,F,9,4411,No
4681,D,Ship,3,3,237,3,low,F,7,4062,No
4682,F,Ship,5,4,139,2,medium,F,2,4217,Yes
4683,A,Ship,4,4,163,3,low,M,3,4185,Yes
4684,B,Ship,4,4,171,2,low,M,4,4962,No
4685,C,Ship,4,3,261,3,low,F,9,5994,Yes
4686,F,Ship,4,3,195,2,low,M,8,4576,No
4687,D,Ship,4,2,190,6,high,M,5,4139,Yes
4688,F,Ship,5,5,236,3,high,M,4,5724,Yes
4689,A,Ship,3,4,254,3,medium,M,6,5716,No
4690,B,Ship,3,3,157,3,medium,M,10,4877,No
4691,C,Ship,3,1,245,3,medium,F,1,5325,No
4692,F,Ship,4,1,144,4,medium,M,8,4303,No
4693,D,Ship,5,3,217,4,low,M,3,5718,Yes
4694,F,Ship,3,3,249,2,low,F,2,5078,No
4695,A,Ship,3,2,176,2,low,F,2,5083,No
4696,B,Ship,3,1,230,2,low,F,1,4970,Yes
4697,C,Ship,3,5,204,2,medium,F,5,4504,Yes
4698,F,Ship,4,4,266,2,low,F,5,5601,No
4699,D,Ship,4,3,213,3,low,F,2,5722,No
4700,F,Ship,3,4,147,3,low,F,8,5525,No
4701,A,Ship,3,1,201,3,low,F,3,4556,Yes
4702,B,Ship,2,4,248,3,low,F,5,5441,No
4703,C,Ship,4,3,167,3,medium,M,5,5791,No
4704,F,Ship,3,4,232,2,low,M,10,5678,No
4705,D,Ship,5,3,163,3,medium,M,9,4419,Yes
4706,F,Ship,4,4,201,5,medium,M,3,5901,Yes
4707,A,Ship,4,5,252,2,low,F,9,4157,No
4708,B,Ship,3,1,146,4,low,F,10,4583,No
4709,C,Ship,5,1,160,3,medium,M,3,5839,No
4710,F,Ship,5,2,167,4,low,M,10,4325,No
4711,D,Ship,4,2,224,2,medium,F,8,4781,Yes
4712,F,Ship,4,2,239,3,medium,F,5,5978,No
4713,A,Ship,4,1,151,6,low,M,7,4387,No
4714,B,Ship,4,5,264,3,low,F,10,5972,No
4715,C,Ship,4,2,242,3,medium,M,8,4644,Yes
4716,F,Ship,3,3,204,4,high,M,9,4712,No
4717,D,Ship,3,5,260,2,medium,M,1,5970,No
4718,F,Ship,3,2,279,3,medium,F,6,4560,No
4719,A,Ship,3,4,225,4,low,F,8,5209,No
4720,B,Ship,3,5,190,3,low,M,9,4468,No
4721,C,Ship,4,2,152,2,low,M,7,5026,No
4722,F,Ship,3,2,201,6,medium,M,7,4723,Yes
4723,D,Ship,3,2,191,2,medium,M,7,5357,No
4724,F,Ship,4,3,140,3,low,M,1,4453,No
4725,A,Ship,5,3,199,4,medium,F,8,5362,No
4726,B,Ship,4,1,194,3,medium,F,6,5282,No
4727,C,Ship,4,2,273,2,low,F,5,5608,Yes
4728,F,Ship,4,5,259,2,medium,F,4,4092,Yes
4729,D,Ship,4,3,180,3,medium,M,5,4038,Yes
4730,F,Ship,5,3,251,2,low,M,9,4458,No
4731,A,Ship,5,1,269,3,low,F,5,5031,No
4732,B,Ship,6,3,274,6,medium,F,2,4281,No
4733,C,Ship,5,5,250,2,medium,M,10,5475,Yes
4734,F,Ship,3,5,265,3,medium,F,8,5980,No
4735,D,Ship,4,3,169,10,medium,F,6,5106,Yes
4736,F,Ship,3,4,211,3,high,M,8,5191,Yes
4737,A,Ship,4,4,245,2,low,M,6,5772,No
4738,B,Ship,4,1,188,2,low,M,6,5894,Yes
4739,C,Ship,3,5,244,2,medium,F,10,4064,Yes
4740,F,Ship,3,5,233,3,medium,F,7,5787,No
4741,D,Ship,3,1,144,3,medium,F,6,4163,No
4742,F,Ship,3,5,221,2,low,F,6,5289,No
4743,A,Ship,3,5,267,2,high,M,2,5062,Yes
4744,B,Ship,3,1,211,3,high,F,7,5178,No
4745,C,Ship,4,1,205,3,low,F,10,4923,No
4746,F,Ship,3,2,144,3,high,M,1,5307,No
4747,D,Ship,3,3,195,7,medium,F,4,4614,No
4748,F,Ship,5,5,232,7,medium,M,6,5139,No
4749,A,Ship,5,3,199,10,medium,F,1,5865,No
4750,B,Ship,5,5,232,3,low,F,5,5338,No
4751,C,Ship,5,4,272,2,low,F,1,5983,Yes
4752,F,Ship,2,4,167,2,medium,M,1,4344,No
4753,D,Ship,3,4,272,8,high,F,10,4070,No
4754,F,Ship,6,2,247,4,low,M,10,1556,No
4755,A,Ship,5,5,275,4,medium,M,9,1215,Yes
4756,B,Ship,6,4,291,4,low,F,8,1131,No
4757,C,Ship,6,5,265,4,low,M,7,1404,Yes
4758,F,Ship,7,3,250,5,medium,F,4,1163,Yes
4759,D,Ship,7,2,291,4,low,F,8,1275,No
4760,F,Ship,6,5,255,4,low,F,9,1197,No
4761,A,Ship,6,5,290,4,medium,M,2,1867,Yes
4762,B,Ship,5,5,276,4,low,M,2,1411,Yes
4763,C,Ship,4,1,149,3,medium,F,8,1136,No
4764,F,Ship,3,3,201,6,medium,M,2,4984,No
4765,D,Ship,3,4,191,2,medium,M,8,5667,Yes
4766,F,Ship,4,4,140,3,low,F,4,5924,Yes
4767,A,Ship,5,4,199,4,medium,M,2,4902,Yes
4768,B,Ship,4,1,194,3,medium,F,9,5804,No
4769,C,Road,4,5,273,2,low,F,9,5724,No
4770,F,Road,4,4,259,2,medium,F,8,4672,No
4771,D,Road,4,5,180,3,medium,F,1,5088,No
4772,F,Road,5,4,251,2,low,F,3,5347,Yes
4773,A,Road,5,3,269,3,low,F,8,4811,No
4774,B,Road,6,3,274,6,medium,F,1,4632,No
4775,C,Road,5,2,250,2,medium,F,6,5565,No
4776,F,Road,3,3,265,3,medium,F,3,5241,No
4777,D,Road,4,5,169,10,medium,F,6,4385,No
4778,F,Road,3,3,211,3,high,F,4,4354,Yes
4779,A,Road,4,1,245,2,low,M,5,5324,Yes
4780,B,Road,4,5,188,2,low,F,4,4433,No
4781,C,Road,3,5,244,2,medium,M,8,5715,Yes
4782,F,Road,3,4,233,3,medium,F,10,4626,No
4783,D,Road,3,4,144,3,medium,M,8,5867,Yes
4784,F,Road,3,1,221,2,low,F,7,5320,No
4785,A,Road,3,5,267,2,high,M,1,4195,Yes
4786,B,Road,3,4,211,3,high,M,1,5144,No
4787,C,Road,4,4,205,3,low,M,6,4254,No
4788,F,Road,3,2,144,3,high,F,9,4428,Yes
4789,D,Road,3,4,195,7,medium,F,9,5829,No
4790,F,Road,5,3,232,7,medium,M,6,5285,Yes
4791,A,Flight,5,1,199,10,medium,F,8,4140,No
4792,B,Flight,5,5,232,3,low,F,3,5718,Yes
4793,C,Flight,5,3,272,2,low,F,4,5112,No
4794,F,Flight,2,2,167,2,medium,F,3,5894,Yes
4795,D,Flight,3,3,272,8,high,M,7,5257,Yes
4796,F,Flight,6,4,247,4,low,F,2,1326,No
4797,A,Flight,5,2,275,4,medium,F,10,1141,Yes
4798,B,Flight,6,5,291,4,low,M,9,1413,No
4799,C,Flight,6,1,265,4,low,F,7,1644,Yes
4800,F,Flight,7,2,250,5,medium,M,9,1327,No
4801,D,Flight,7,1,291,4,low,M,2,1216,Yes
4802,F,Flight,6,1,255,4,low,F,2,1385,No
4803,A,Flight,6,2,290,4,medium,F,9,1339,No
4804,B,Flight,6,3,247,4,medium,F,4,1476,Yes
4805,C,Flight,6,2,152,2,low,F,9,1993,No
4806,F,Flight,7,5,278,4,low,F,5,1572,Yes
4807,D,Flight,6,1,260,4,medium,F,2,1131,No
4808,F,Flight,6,3,254,4,low,M,6,1335,No
4809,A,Flight,2,4,151,4,low,F,6,1803,No
4810,B,Flight,2,5,198,2,medium,M,4,1913,Yes
4811,C,Flight,6,4,243,4,low,M,9,1353,Yes
4812,F,Flight,6,5,245,4,low,F,8,1403,No
4813,D,Ship,6,4,300,4,low,F,8,1301,Yes
4814,F,Ship,6,1,303,4,medium,F,10,1003,No
4815,A,Ship,7,3,286,4,low,F,3,1670,No
4816,B,Ship,7,2,248,4,medium,F,1,1163,Yes
4817,C,Ship,6,5,244,4,low,M,9,1789,Yes
4818,F,Ship,7,1,290,4,low,F,9,1885,No
4819,D,Ship,4,3,260,5,low,M,10,1832,Yes
4820,F,Ship,6,5,310,4,medium,M,1,1105,Yes
4821,A,Ship,6,3,247,4,low,M,3,1616,Yes
4822,B,Ship,6,5,281,4,low,M,8,1241,Yes
4823,C,Ship,6,3,260,4,medium,M,9,1800,No
4824,F,Ship,6,1,263,4,low,F,6,1153,No
4825,D,Ship,5,1,285,4,medium,F,10,1428,No
4826,F,Ship,3,4,269,3,medium,M,9,5133,Yes
4827,A,Ship,2,5,205,6,low,M,2,5671,No
4828,B,Ship,3,2,109,3,low,M,4,5746,No
4829,C,Ship,5,4,216,2,low,F,6,4535,No
4830,F,Ship,3,2,184,3,medium,F,8,4994,No
4831,D,Ship,4,4,106,2,low,M,6,5984,No
4832,F,Ship,3,1,228,2,low,F,5,4456,Yes
4833,A,Ship,4,5,140,3,medium,F,8,4956,No
4834,B,Ship,4,3,251,3,medium,M,5,4206,No
4835,C,Ship,3,3,153,3,medium,M,5,4578,Yes
4836,F,Ship,4,4,176,2,medium,F,1,5793,No
4837,D,Ship,4,3,206,2,medium,F,4,5194,Yes
4838,F,Ship,3,3,189,2,low,F,9,4690,No
4839,A,Ship,2,2,251,6,medium,F,1,4165,Yes
4840,B,Ship,4,3,155,3,low,F,1,4360,Yes
4841,C,Ship,6,4,260,5,medium,M,2,4687,Yes
4842,F,Ship,5,1,156,6,medium,F,4,4821,No
4843,D,Ship,4,2,225,2,medium,M,7,5241,Yes
4844,F,Ship,6,5,284,4,medium,M,8,5346,Yes
4845,A,Ship,5,3,263,2,low,M,3,4474,Yes
4846,B,Ship,3,3,238,2,medium,M,2,5512,No
4847,C,Ship,5,4,267,2,low,M,7,5292,No
4848,F,Ship,3,3,101,2,medium,M,9,4860,No
4849,D,Ship,3,1,175,3,medium,M,1,4872,No
4850,F,Ship,4,5,261,2,low,M,3,4119,No
4851,A,Ship,5,3,150,3,low,M,10,4799,Yes
4852,B,Ship,3,5,206,4,medium,F,2,5829,Yes
4853,C,Ship,4,4,254,4,low,F,10,4827,No
4854,F,Ship,4,2,159,3,low,M,5,4985,Yes
4855,D,Ship,2,5,284,3,medium,M,6,4575,No
4856,F,Ship,3,1,170,2,low,M,9,4112,No
4857,A,Ship,4,5,245,3,low,F,7,4297,No
4858,B,Ship,4,5,152,3,medium,M,5,5191,No
4859,C,Ship,5,4,193,4,high,F,4,5757,Yes
4860,F,Ship,5,3,231,2,low,M,8,5743,Yes
4861,D,Ship,4,1,212,3,low,M,3,4896,No
4862,F,Ship,3,4,185,2,medium,M,8,5449,Yes
4863,A,Ship,4,3,223,3,low,F,10,5560,Yes
4864,B,Ship,4,1,241,4,medium,M,9,5360,No
4865,C,Ship,5,4,215,3,low,F,5,5552,Yes
4866,F,Ship,4,5,261,2,medium,M,6,5920,No
4867,D,Ship,4,3,158,5,medium,F,7,4344,Yes
4868,F,Ship,3,3,166,2,medium,F,8,5871,No
4869,A,Ship,4,3,280,6,high,M,8,4525,No
4870,B,Ship,3,2,264,3,low,F,8,5831,No
4871,C,Ship,3,3,204,2,medium,M,6,5612,No
4872,F,Ship,4,4,261,2,medium,F,9,5306,Yes
4873,D,Ship,6,4,138,3,medium,F,4,4225,No
4874,F,Ship,4,4,225,2,medium,M,10,4829,Yes
4875,A,Ship,4,4,238,5,low,M,1,4753,No
4876,B,Ship,4,5,234,3,medium,F,3,5142,Yes
4877,C,Ship,4,2,237,3,low,F,7,4785,No
4878,F,Ship,3,3,165,3,medium,F,4,5924,Yes
4879,D,Ship,2,1,148,2,low,M,10,5939,Yes
4880,F,Ship,5,1,148,4,high,M,2,5821,Yes
4881,A,Ship,3,3,218,3,low,F,4,5086,Yes
4882,B,Ship,4,5,218,6,low,M,5,4364,Yes
4883,C,Ship,4,3,181,4,low,F,8,5106,No
4884,F,Ship,2,1,138,2,low,M,8,4932,Yes
4885,D,Ship,3,4,206,3,high,M,5,4022,No
4886,F,Ship,5,1,172,2,high,F,7,5165,No
4887,A,Ship,4,2,160,2,high,F,5,4343,No
4888,B,Ship,5,2,225,4,low,M,1,4328,Yes
4889,C,Ship,6,5,206,6,low,M,2,4014,Yes
4890,F,Ship,5,5,232,3,low,F,2,4545,Yes
4891,D,Ship,3,4,232,3,low,F,6,4050,No
4892,F,Ship,3,4,197,2,low,F,3,4865,No
4893,A,Ship,5,1,246,3,low,F,3,5013,No
4894,B,Ship,3,4,241,3,medium,M,3,4047,No
4895,C,Ship,6,5,211,4,medium,F,4,4032,No
4896,F,Ship,3,3,162,2,low,F,9,4903,No
4897,D,Ship,3,1,264,4,low,M,10,4265,No
4898,F,Ship,5,3,211,3,low,F,5,5087,No
4899,A,Ship,4,5,159,5,low,F,7,4063,No
4900,B,Ship,5,5,166,2,high,F,2,4562,Yes
4901,C,Ship,4,4,163,6,medium,M,1,4584,No
4902,F,Ship,4,3,164,2,low,M,3,5735,No
4903,D,Ship,5,1,255,3,high,M,6,4044,Yes
4904,F,Ship,4,3,153,3,medium,F,6,5748,No
4905,A,Ship,3,1,165,2,low,M,6,4445,No
4906,B,Road,3,2,162,3,medium,M,6,4505,Yes
4907,C,Road,3,1,223,3,low,M,8,5318,No
4908,F,Road,3,4,200,2,medium,F,6,4751,Yes
4909,D,Road,3,5,194,3,medium,F,3,4435,Yes
4910,F,Road,3,1,257,2,low,M,6,4897,Yes
4911,A,Road,2,1,188,2,low,M,5,5250,No
4912,B,Road,3,4,221,3,medium,F,1,5391,No
4913,C,Road,4,4,193,2,low,F,6,4855,Yes
4914,F,Road,3,1,166,2,low,M,2,5710,Yes
4915,D,Road,4,4,212,2,medium,M,8,4239,No
4916,F,Road,3,2,252,3,medium,M,7,4507,No
4917,A,Road,3,1,155,2,low,M,7,4221,Yes
4918,B,Road,4,5,244,4,medium,F,2,5365,Yes
4919,C,Road,3,3,162,2,medium,M,7,5719,Yes
4920,F,Road,2,1,228,2,medium,M,10,4854,Yes
4921,D,Road,4,3,208,3,medium,F,3,4837,Yes
4922,F,Road,5,3,156,3,medium,M,7,4293,No
4923,A,Road,3,1,209,2,high,F,1,5779,Yes
4924,B,Road,4,5,203,2,medium,F,8,4450,Yes
4925,C,Road,4,4,196,5,high,F,7,4622,No
4926,F,Road,4,4,256,3,low,M,8,4398,No
4927,D,Road,4,5,159,4,medium,F,4,4816,No
4928,F,Flight,5,5,137,4,low,M,4,5888,No
4929,A,Flight,2,5,271,3,low,M,4,5775,No
4930,B,Flight,5,1,264,2,medium,F,3,4056,Yes
4931,C,Flight,2,2,264,3,medium,M,1,4518,No
4932,F,Flight,4,3,205,2,medium,M,10,4178,Yes
4933,D,Flight,5,1,266,3,low,M,10,5858,No
4934,F,Flight,5,4,200,3,medium,F,8,5206,Yes
4935,A,Flight,4,4,154,6,medium,F,10,4361,Yes
4936,B,Flight,3,2,178,3,low,M,4,5119,Yes
4937,C,Flight,5,2,198,3,low,F,7,5768,Yes
4938,F,Flight,3,4,218,2,medium,M,2,5973,No
4939,D,Flight,4,4,185,3,high,F,6,4238,Yes
4940,F,Flight,3,4,235,3,low,M,4,5498,No
4941,A,Flight,3,5,251,3,high,F,4,4156,Yes
4942,B,Flight,5,2,275,5,low,F,9,5168,Yes
4943,C,Flight,5,2,156,5,low,M,9,5237,No
4944,F,Flight,3,5,135,3,low,M,3,4938,No
4945,D,Flight,4,1,143,3,medium,M,4,4283,No
4946,F,Flight,5,1,240,3,high,M,10,5277,No
4947,A,Flight,5,2,131,5,low,F,4,4600,Yes
4948,B,Flight,4,5,142,3,medium,M,2,5692,No
4949,C,Flight,5,4,275,4,low,F,7,4597,No
4950,F,Ship,5,5,137,3,low,M,5,5914,Yes
4951,D,Ship,3,3,165,4,medium,M,3,4235,No
4952,F,Ship,5,4,250,2,low,F,10,4277,No
4953,A,Ship,4,2,242,3,medium,M,10,4721,No
4954,B,Ship,3,3,181,3,medium,F,3,5620,Yes
4955,C,Ship,4,4,211,3,medium,M,5,4812,No
4956,F,Ship,2,2,177,4,low,M,8,5878,Yes
4957,D,Ship,3,3,135,3,medium,M,2,5860,No
4958,F,Ship,6,4,151,3,low,F,10,5414,Yes
4959,A,Ship,5,4,250,6,low,F,1,4343,No
4960,B,Ship,5,5,191,4,medium,F,10,4933,Yes
4961,C,Ship,2,4,158,5,medium,F,2,4303,Yes
4962,F,Ship,3,3,229,2,medium,F,1,5670,No
4963,D,Ship,4,5,169,4,low,M,6,4168,Yes
4964,F,Ship,5,1,164,3,low,M,7,4540,Yes
4965,A,Ship,4,1,177,2,medium,M,6,5566,No
4966,B,Ship,4,4,193,3,medium,M,8,4715,Yes
4967,C,Ship,4,1,198,3,medium,F,1,4090,No
4968,F,Ship,3,1,268,3,low,M,2,4746,Yes
4969,D,Ship,3,3,269,3,high,M,8,5910,No
4970,F,Ship,4,3,275,3,low,F,3,4824,No
4971,A,Ship,5,5,233,3,high,M,5,5330,No
4972,B,Ship,2,5,259,3,low,M,3,4770,Yes
4973,C,Ship,3,5,239,6,low,F,8,5791,Yes
4974,F,Ship,3,2,134,3,medium,F,3,5232,No
4975,D,Ship,5,4,131,8,low,M,7,4471,No
4976,F,Ship,4,2,194,8,medium,M,10,5995,No
4977,A,Ship,4,5,261,3,high,F,2,4954,Yes
4978,B,Ship,4,2,254,10,high,M,7,5820,No
4979,C,Ship,4,1,161,6,low,F,2,5734,No
4980,F,Ship,4,5,227,2,low,M,7,4414,No
4981,D,Ship,3,1,165,3,high,F,10,4208,No
4982,F,Ship,3,2,156,7,medium,F,9,5313,Yes
4983,A,Ship,3,3,262,7,high,F,9,5097,No
4984,B,Ship,4,3,263,3,low,M,4,4150,Yes
4985,C,Ship,4,2,196,3,low,M,1,5172,Yes
4986,F,Ship,6,1,152,2,low,F,3,1340,No
4987,D,Ship,7,1,278,4,low,M,10,1508,Yes
4988,F,Ship,6,4,260,4,medium,M,1,1726,No
4989,A,Ship,6,5,254,4,low,M,7,1674,No
4990,B,Ship,2,4,151,4,low,F,2,1150,No
4991,C,Ship,2,3,198,2,medium,F,6,1996,No
4992,F,Ship,6,2,243,4,low,M,9,1258,Yes
4993,D,Ship,6,2,245,4,low,F,10,1448,No
4994,F,Ship,3,5,268,3,low,F,6,5603,No
4995,A,Ship,3,3,269,3,high,F,6,4260,Yes
4996,B,Ship,4,4,275,3,low,M,10,5674,Yes
4997,C,Ship,5,2,233,3,high,M,7,5323,Yes
4998,F,Ship,2,2,259,3,low,M,6,4840,Yes
4999,D,Ship,3,3,239,6,low,M,7,4501,Yes
5000,F,Ship,3,3,134,3,medium,F,8,4950,No
5001,A,Ship,5,3,131,8,low,F,5,4149,Yes
5002,B,Ship,4,5,194,8,medium,F,9,4843,Yes
5003,C,Ship,4,2,261,3,high,M,1,4931,No
5004,F,Ship,4,5,254,10,high,M,7,5524,Yes
5005,D,Ship,4,3,161,6,low,M,6,5560,Yes
5006,F,Ship,4,4,227,2,low,F,7,4916,No
5007,A,Ship,3,4,165,3,high,M,10,4910,No
5008,B,Ship,3,3,156,7,medium,M,2,5467,No
5009,C,Ship,3,2,262,7,high,M,5,5985,Yes
5010,F,Ship,4,3,263,3,low,F,3,5253,No
5011,D,Ship,4,3,196,3,low,F,10,4194,Yes
5012,F,Ship,6,2,152,2,low,M,6,1711,No
5013,A,Ship,7,3,278,4,low,F,8,1909,Yes
5014,B,Ship,6,5,260,4,medium,F,10,1799,No
5015,C,Ship,6,2,254,4,low,M,4,1392,No
5016,F,Ship,2,3,151,4,low,F,3,1353,Yes
5017,D,Ship,2,3,198,2,medium,F,6,1730,Yes
5018,F,Ship,5,2,285,4,medium,F,7,1666,Yes
5019,A,Ship,7,1,306,4,medium,M,5,1467,No
5020,B,Ship,6,4,291,4,low,F,5,1327,No
5021,C,Ship,6,3,292,4,low,M,8,1925,No
5022,F,Ship,6,2,293,5,low,F,3,1969,No
5023,D,Ship,6,4,275,4,low,F,3,1182,No
5024,F,Ship,6,5,274,4,low,M,6,1066,No
5025,A,Ship,7,2,310,4,low,F,7,1294,No
5026,B,Ship,6,5,292,4,low,M,4,1762,Yes
5027,C,Ship,6,3,256,5,low,F,1,1980,No
5028,F,Ship,7,4,295,4,low,M,5,1239,No
5029,D,Ship,3,5,149,2,medium,M,5,1023,No
5030,F,Ship,6,5,294,4,medium,F,2,1273,Yes
5031,A,Ship,6,3,281,4,medium,F,7,1599,Yes
5032,B,Ship,6,4,294,4,medium,M,6,1112,No
5033,C,Ship,6,5,249,4,low,F,8,1274,No
5034,F,Ship,6,5,276,4,medium,F,6,1005,Yes
5035,D,Ship,7,5,284,4,medium,F,8,1148,Yes
5036,F,Ship,4,5,134,3,low,F,1,1008,No
5037,A,Ship,6,3,271,4,medium,F,1,1733,No
5038,B,Ship,6,2,244,4,medium,F,1,1406,Yes
5039,C,Ship,6,1,264,4,low,M,10,1960,No
5040,F,Ship,6,5,275,4,low,M,8,1553,Yes
5041,D,Ship,7,3,310,4,medium,F,7,1989,No
5042,F,Ship,6,2,301,5,medium,F,3,1586,No
5043,A,Road,6,3,247,4,medium,F,9,1011,No
5044,B,Road,4,2,224,2,low,M,9,5603,Yes
5045,C,Road,3,5,242,2,low,F,6,5635,No
5046,F,Road,4,1,145,2,low,F,2,5209,No
5047,D,Road,4,1,150,2,low,M,5,4140,No
5048,F,Road,4,4,266,3,low,M,4,5905,No
5049,A,Road,5,1,260,2,low,M,4,5580,No
5050,B,Road,4,1,259,3,medium,M,5,4435,Yes
5051,C,Road,4,3,192,3,low,F,10,4068,No
5052,F,Road,3,1,149,3,medium,M,5,4805,Yes
5053,D,Road,4,1,133,2,medium,M,1,5274,Yes
5054,F,Road,4,4,145,3,medium,F,3,5424,Yes
5055,A,Road,3,4,186,3,high,M,1,5922,Yes
5056,B,Road,5,3,267,3,medium,F,8,5786,Yes
5057,C,Road,3,3,157,4,medium,F,2,5684,No
